1235f6fb-b5f3-4626-997e-55b4a58b42f2 	 2022:11:16 	09:24:26 	 GET	/ 
33b2d573-a05e-49f1-a57b-85b4e4460c46 	 2022:11:16 	09:27:26 	 GET	/ 
425abac5-d346-494e-9958-0e6b6a35760f 	 2022:11:16 	09:28:05 	 GET	/ 
74030f13-861e-49bb-857f-715a075f89a7 	 2022:11:16 	09:28:05 	 GET	/favicon.ico 
209c531a-00e2-4144-a4b4-1367c599e2fc 	 2022:11:16 	09:29:01 	 GET	/ 
3e6b1dba-1ff6-4171-ad4f-da81c51e3fb3 	 2022:11:16 	09:29:38 	 GET	/index.html 
3783fec8-6e3e-4b10-bfa4-bf38b6438a1e 	 2022:11:16 	09:31:35 	 GET	/index.html 
5f42884b-63f2-4981-92c6-d46c12ee0934 	 2022:11:16 	09:31:40 	 GET	/index 
ba3ce875-ca4a-4537-9668-eae1b9df5c8c 	 2022:11:16 	09:45:56 	 GET	/ 
9722a85d-aba2-455c-814f-df339b83be7b 	 2022:11:23 	09:14:38 	 GET	/ 
c832c98d-9b27-48cf-8cae-9387743ef927 	 2022:11:23 	09:14:39 	 GET	/favicon.ico 
6d774421-d0fc-4158-952f-b7a8da1dcc3f 	 2022:11:23 	09:14:43 	 GET	/books 
66682a4a-f481-4ed4-9c00-17a5941256ee 	 2022:11:23 	09:36:51 	 GET	/books 
0253bce1-ccfa-46a2-bbd5-501c9624ed9f 	 2022:11:23 	09:37:51 	 GET	/books 
d07677e7-ff2a-4e68-b78e-14f3952f913f 	 2022:11:23 	09:37:56 	 POST	/books 
470a98f3-ad6a-427d-901f-fe423cfc859e 	 2022:11:25 	08:21:49 	 GET	/ 
1fbe798f-2cc2-48b1-a5ca-ff18c39f8470 	 2022:11:25 	08:22:05 	 POST	/books 
60363cd9-e911-4d68-a3ec-9310b8c9a8eb 	 2022:11:25 	08:22:17 	 PUT	/books 
e1086c1e-1616-42b6-a68e-80be05d6ce57 	 2022:11:25 	08:22:22 	 DELETE	/books 
554d011c-f870-4288-949e-ebc6b45d0d36 	 2022:11:25 	08:22:35 	 GET	/books 
95081689-a0e3-4958-848e-fc556b4d4521 	 2022:11:25 	08:28:54 	 GET	/books 
db166831-e8f3-4450-a559-bd058608a43d 	 2022:11:25 	08:31:31 	 POST	/books 
890969c1-2ae9-4fa5-aaa3-6127a5edde40 	 2022:11:25 	08:32:12 	 POST	/books 
2cef3098-cd46-4957-9e5b-1ce0d006f2a3 	 2022:11:25 	08:37:49 	 POST	/books 
0e3863ff-fd0b-4e20-9760-748b51225adb 	 2022:11:25 	08:41:28 	 POST	/books 
707c0970-a70c-4c71-802f-4a90ea3b83c6 	 2022:11:25 	08:43:00 	 POST	/books 
9ace4920-7546-461e-a638-8cd38de4e3cd 	 2022:11:25 	08:44:32 	 PUT	/books 
782fa254-fb32-4ce6-b686-32c1ad28d007 	 2022:11:25 	08:45:32 	 POST	/books 
b544c514-6f6c-47f1-a964-af36e3e4e37d 	 2022:11:25 	08:46:28 	 POST	/books 
dc662344-47bb-4f93-bbad-b03a1e5cf570 	 2022:11:25 	08:49:01 	 POST	/books 
a816fa42-2c6b-4636-8a2f-448f74cc1212 	 2022:11:25 	08:53:39 	 GET	/books/1 
f4573dcb-099f-44d3-bb04-ee3672d3e30d 	 2022:11:25 	08:54:25 	 GET	/books/ 
30f39e62-40d6-455d-919b-74959b054ec6 	 2022:11:25 	08:54:30 	 GET	/books/1 
40346d79-b5a4-4714-bdb2-55834cf54be6 	 2022:11:25 	09:02:27 	 GET	/books/1 
f837978d-96a5-4154-b795-0666632d1f6e 	 2022:11:25 	09:03:51 	 GET	/books/1 
8bda378c-87a2-448e-ab81-1fdcb6b2f403 	 2022:11:25 	09:12:46 	 GET	/books/1 
6b2d8e91-f408-43bd-9fb1-75599061ef00 	 2022:11:25 	09:12:57 	 GET	/books/2 
b5a34bd7-65cc-4be4-ad4f-4257ca571543 	 2022:11:25 	09:14:25 	 GET	/books/2 
bba6ee15-b93d-46e6-8251-b2acf406f86c 	 2022:11:25 	09:14:44 	 GET	/books 
63a2bc3f-b983-4947-9123-2563e8e3af29 	 2022:11:25 	09:15:14 	 GET	/books 
ed1101e2-3a03-4167-9f55-b479e312942c 	 2022:11:25 	09:15:20 	 GET	/books/1 
6208dc29-63d9-4cd1-9b6b-37a86850465c 	 2022:11:25 	09:16:46 	 GET	/books/1 
bb99c686-3efa-44a0-a35d-9be244c6b954 	 2022:11:25 	09:17:49 	 GET	/books/1 
f9205dae-ca5b-4b27-8c0e-180abe2f052b 	 2022:11:25 	09:22:13 	 GET	/books/1 
e2b7f63b-0827-4836-aa79-864a4df1124f 	 2022:11:25 	09:22:26 	 GET	/books/2 
1b4a32f3-7a82-4aa1-ab90-307f6e444bfe 	 2022:11:25 	09:22:32 	 GET	/books/5 
2343d0e1-6a92-46df-8633-f352de4af90a 	 2022:11:25 	09:22:46 	 GET	/books/9 
a340c263-a43b-4d88-a414-a6934e36d68d 	 2022:11:25 	09:23:45 	 GET	/books/9 
c16d37d7-7cb7-4bdf-8753-5a5f7923c04f 	 2022:11:25 	09:24:10 	 GET	/books/9 
8eb638c1-86b1-4ae9-9bf4-56c55e18ce56 	 2022:11:25 	09:24:21 	 GET	/books/9 
a4df8c88-085b-422a-a6ad-f7979ef98727 	 2022:11:25 	09:24:35 	 GET	/books/9 
4a1e2a3e-eb8f-44eb-9692-12de91559344 	 2022:11:25 	09:24:41 	 GET	/books/ 
ee494159-cdee-4723-a967-3ab198301d2b 	 2022:11:25 	09:25:08 	 GET	/books/ 
206406b5-1bd7-4ee7-9c89-e7e0c76d11e1 	 2022:11:25 	09:25:17 	 GET	/books/2 
ea97fab4-b7b4-4eaf-abf0-c391146024a0 	 2022:11:25 	09:27:06 	 GET	/books/2 
160fddf8-3a52-4141-9978-5eca3b3cea11 	 2022:11:25 	09:27:24 	 GET	/books/2 
0e9c7e1b-8f65-4fb1-897a-a6364509346e 	 2022:11:25 	09:40:27 	 info 	 GET 	 / 
ccdc2df5-1654-4744-ab28-63edd1cfc892 	 2022:11:25 	09:40:28 	 info 	 GET 	 /favicon.ico 
9cfb6c4f-f400-4480-a09e-9d2f1e90f712 	 2022:11:25 	09:41:05 	 info 	 GET 	 /books/2 
2eda631d-34d4-4dc4-a47b-f49b12040016 	 2022:11:25 	09:41:14 	 info 	 GET 	 /books/3 
96041bad-3542-4bf2-892f-4bf13132d687 	 2022:11:28 	08:45:44 	 info 	 GET 	 /books/1 
9d1a6187-97c4-4899-b978-b05bdf9eec53 	 2022:11:28 	08:45:49 	 info 	 GET 	 /books/2 
59d68b44-4198-4c94-9aac-39a28a9fa2e9 	 2022:11:28 	08:46:44 	 info 	 PUT 	 /books/1 
2d95953f-ed05-4c48-b1cd-b8cd882a47c2 	 2022:11:28 	08:48:06 	 info 	 PUT 	 /books/1 
e2cc6f6a-9a87-404f-8e92-1307c8cc6a32 	 2022:11:28 	08:48:27 	 info 	 PUT 	 /books/1 
3eac90c2-4854-4f0e-b07d-fe680f65d5dd 	 2022:11:28 	08:49:08 	 info 	 PUT 	 /books/1 
b0993fb8-814c-44df-9f1f-4112feba8876 	 2022:11:28 	08:49:32 	 info 	 GET 	 /books/1 
28c0fe15-ca9d-4d5f-bbe0-0361e49abc2e 	 2022:11:28 	08:50:09 	 info 	 PUT 	 /books/1 
4fd085cf-1728-45e3-9aae-cbfe9796b71b 	 2022:11:28 	08:50:16 	 info 	 GET 	 /books/1 
68c76f90-cd2b-4ee0-a918-3bde7b959551 	 2022:11:28 	09:00:58 	 info 	 GET 	 /books/1 
e2948ef6-593e-4fb5-9815-9ee4aa5972ac 	 2022:11:28 	09:01:04 	 info 	 GET 	 /books 
938be81d-1115-4bfd-aaaa-de65d8f26bc7 	 2022:11:28 	09:01:31 	 info 	 GET 	 /books 
f7d01570-9bdb-44fe-b8f5-e30948690573 	 2022:11:28 	09:01:37 	 info 	 GET 	 /books/2 
b8ebae66-78f4-4fa2-a3ca-7ac7c8cadf47 	 2022:11:28 	09:01:43 	 info 	 DELETE 	 /books/2 
d023b0a9-f04a-45be-ae49-308bce73335b 	 2022:11:28 	09:01:48 	 info 	 DELETE 	 /books/ 
de1bec94-e2d0-481d-935e-5d4525bf666f 	 2022:11:28 	09:03:33 	 info 	 POST 	 /books/2 
a28e39f9-0490-43ab-af0b-f85ebc642f6d 	 2022:11:28 	09:36:00 	 info 	 DELETE 	 /books/1 
8eef5fd1-6d2f-40e3-83a6-2c47b1180fae 	 2022:11:28 	09:36:25 	 info 	 DELETE 	 /books/1 
5fbe6612-7d44-419e-94c7-6455ab369648 	 2022:11:28 	09:36:49 	 info 	 DELETE 	 /books/1 
ea1e1627-16e1-4cfc-90cc-fbfaea7dd9aa 	 2022:11:30 	09:39:44 	 info 	 GET 	 /books/ 
b095e649-e113-48e7-99e3-2f7f2e36e04b 	 2022:11:30 	09:42:18 	 info 	 GET 	 /books/ 
d85cc406-1707-4971-9132-aab29e102179 	 2022:11:30 	09:43:11 	 info 	 POST 	 /books/ 
55d75bd3-9dfb-4bce-9828-e4f5c8faad00 	 2022:12:02 	07:26:24 	 info 	 GET 	 /books/ 
d14e542e-9f8c-4c3d-8b46-e53970599570 	 2022:12:02 	07:29:04 	 info 	 GET 	 /books/ 
9202f01f-f454-4092-a7c4-a14da2f6877e 	 2022:12:02 	07:31:06 	 info 	 POST 	 /books/ 
fc0833e5-466f-4ae1-96fd-cd2afc4ec815 	 2022:12:02 	07:31:14 	 info 	 GET 	 /books/ 
9e942cb9-ea9b-4e1d-a202-9262f608e152 	 2022:12:02 	07:35:07 	 info 	 DELETE 	 /books/ 
d34f4f8d-d32c-42c9-b881-ea352c452616 	 2022:12:02 	07:35:34 	 info 	 DELETE 	 /books/ 
8024b9da-d87e-45f9-a106-680084bc882b 	 2022:12:02 	07:36:03 	 info 	 GET 	 /books/ 
553c2514-19bb-45ba-a838-cf404fb62207 	 2022:12:02 	07:36:59 	 info 	 DELETE 	 /books/ 
7a8743d0-0107-4300-9cf8-d2eaeb3c94f4 	 2022:12:02 	07:37:17 	 info 	 DELETE 	 /books 
762bdeae-526c-4d03-ba2d-c5034aeb74d7 	 2022:12:02 	07:37:38 	 info 	 DELETE 	 /books 
d7a26ffd-7c84-405a-aa60-304d753f3944 	 2022:12:02 	07:40:11 	 info 	 GET 	 /books 
af892371-9bf1-40d8-94f9-77db535ee0a3 	 2022:12:02 	07:45:31 	 info 	 GET 	 /books 
0bf9270d-9279-47b8-bad7-19e4d7be3fc3 	 2022:12:02 	07:55:51 	 info 	 GET 	 /books 
4a3b4cb5-83b9-4c23-92f6-95a31e27211a 	 2022:12:02 	07:58:09 	 info 	 POST 	 /books 
9d82d8df-9d59-4614-bb93-1a9cedc593a1 	 2022:12:02 	08:08:30 	 info 	 POST 	 /books 
077e3f18-1e0e-4699-9368-5828134071f1 	 2022:12:02 	08:08:47 	 info 	 POST 	 /books 
51e13a5a-b8f3-484b-9a54-1adec40575d4 	 2022:12:02 	08:08:52 	 info 	 GET 	 /books 
953a7592-252a-45c6-bb64-fd0a86ed30e1 	 2022:12:02 	08:09:11 	 info 	 GET 	 /books/638961a23341cc1cd689c633 
1cdbb2ff-159e-43ed-ab82-c8fb97d51d41 	 2022:12:02 	08:35:38 	 info 	 PUT 	 /books/638961a23341cc1cd689c633 
e2b9ed61-8a73-4459-b47a-0e02374d510a 	 2022:12:02 	08:36:56 	 info 	 PUT 	 /books/638961a23341cc1cd689c633 
5ca4ae0c-f03a-479d-aff9-9f0154455974 	 2022:12:02 	08:37:09 	 info 	 PUT 	 /books/638961a23341cc1cd689c633 
39dce07b-fec9-4203-b3d3-0d632b5c7873 	 2022:12:02 	08:37:22 	 info 	 GET 	 /books/638961a23341cc1cd689c633 
